bac,nghe,noi,doc,viet
Bậc 1-,"Nghe hiểu các cụm từ quen thuộc, đơn giản. Nghe hiểu và làm theo hướng dẫn rất đơn giản trong lớp học.
Nghe hiểu và trả lời các câu hỏi rất đơn giản nếu nói chậm và rõ ràng.
Nghe hiểu đoạn hội thoại ngắn 20-30 từ về chủ đề đã học nếu nói chậm và rõ ràng.","Nói các cụm từ đơn giản, quen thuộc, ngắn và dễ phát âm.
Hỏi và trả lời câu hỏi đơn giản về bản thân và người khác.
Nói được về chủ đề đã học một cách đơn giản bằng cụm từ và từ đơn.","Đọc đúng chữ cái trong bảng chữ cái, chữ cái trong từ.
Đọc hiểu nghĩa các từ và cụm từ quen thuộc, rất đơn giản.
Đọc hiểu các văn bản ngắn 30-40 từ về chủ đề đã học.","Viết các từ, cụm từ rất đơn giản.
Điền thông tin cá nhân vào các mẫu rất đơn giản (tên, địa chỉ...).
Viết theo mẫu để hoàn thành đoạn văn 10-20 từ."
Bậc 1,"Nghe hiểu câu và cụm từ thông dụng liên quan tới bản thân, gia đình, trường lớp.
Nghe hiểu ý chính của đoạn hội thoại 40-60 từ nói với tốc độ chậm.
Nghe và làm theo chuỗi 2-3 hướng dẫn đơn giản trong lớp.","Giới thiệu bản thân và người thân bằng các câu đơn hoàn chỉnh.
Đặt và trả lời câu hỏi về nhu cầu, sở thích quen thuộc.
Mô tả ngắn về đồ vật, con vật, hoạt động hằng ngày (4-5 câu).","Đọc hiểu đoạn văn 50-70 từ về chủ đề quen thuộc.
Xác định thông tin cụ thể trong bảng biểu, thời khoá biểu đơn giản.
Đọc trôi chảy câu đơn với ngữ điệu cơ bản.","Viết câu đơn hoàn chỉnh về bản thân và môi trường xung quanh.
Viết đoạn 25-40 từ theo gợi ý cho sẵn.
Sử dụng đúng dấu câu và viết hoa cơ bản."
Bậc 2,"Nghe hiểu ý chính của bài nói rõ ràng về chủ đề quen thuộc trong học tập, giải trí.
Nghe hiểu hội thoại 80-100 từ và nắm được chi tiết quan trọng.
Nhận biết được thái độ, cảm xúc của người nói qua ngữ điệu.","Trao đổi thông tin trong các tình huống giao tiếp quen thuộc hằng ngày.
Kể lại một sự việc, trải nghiệm bằng chuỗi câu có liên kết.
Trình bày ý kiến cá nhân ngắn gọn kèm lý do đơn giản.","Đọc hiểu văn bản 100-150 từ về chủ đề quen thuộc.
Suy luận nghĩa của từ mới dựa vào ngữ cảnh.
Nắm được ý chính và ý chi tiết của đoạn văn ngắn.","Viết đoạn văn 50-80 từ có mở - thân - kết đơn giản.
Viết tin nhắn, email ngắn cho bạn bè, thầy cô.
Sử dụng từ nối cơ bản (and, but, because, so) để liên kết ý."
Bậc 3,"Nghe hiểu bài nói dài về chủ đề học thuật quen thuộc với tốc độ tự nhiên.
Nghe hiểu và ghi chép ý chính của bài giảng ngắn.
Nghe hiểu các đoạn hội thoại có nhiều người tham gia.","Thảo luận, bảo vệ quan điểm cá nhân về chủ đề quen thuộc.
Thuyết trình 2-3 phút có cấu trúc rõ ràng.
Sử dụng linh hoạt cấu trúc câu phức trong giao tiếp.","Đọc hiểu văn bản 200-250 từ ở nhiều thể loại khác nhau.
Phân tích được ý đồ và quan điểm của tác giả.
Đọc lướt lấy thông tin và đọc kỹ lấy chi tiết.","Viết bài luận 120-150 từ có bố cục và lập luận rõ ràng.
Viết thư trang trọng và không trang trọng đúng văn phong.
Sử dụng đa dạng cấu trúc câu và từ vựng học thuật cơ bản."
